DATE,Interest rate,Consumer price index,M1 money supply,Unemployment rate,Closing price,Inflation rate,Real GDP,Real personal income,M2 money supply,Opening price,House price,Change in values of stocks,Net Exports,Labor compensation,Total capital expenditure and transactions,Outcome
10-Oct,0.19,219,812.8,9.4,1183.3,1.172,16960.864,14000.339,8749.4,1143.5,324.08,3.69,-523.59,1.849836779,3892007,0
10-Nov,0.19,219.6,832.6,9.8,1180.5,1.143,16960.864,14018.501,8770,1185.7,324.08,-0.24,-523.59,1.845819761,3892007,0
10-Dec,0.18,220.5,833.1,9.3,1257.6,1.496,16960.864,14104.762,8801.8,1186.6,324.08,6.53,-523.59,2.008686211,3892007,0
11-Jan,0.17,221.2,834.7,9.1,1286.1,1.632,16920.632,14289.288,8823.1,1257.6,315.08,2.27,-568.48,2.550189908,3861338,0
11-Feb,0.16,221.9,842.8,9,1327.2,2.108,16920.632,14331.186,8886.9,1289.1,315.08,3.2,-568.48,2.380952381,3861338,0
11-Mar,0.14,223,850.3,9,1325.8,2.682,16920.632,14298.318,8943.5,1328.6,315.08,-0.11,-568.48,2.328099621,3861338,0
11-Apr,0.1,224.1,846.5,9.1,1363.6,3.164,17035.114,14275.294,9004.9,1329.5,309.54,2.85,-581.09,2.160994057,3944963,0
11-May,0.09,224.8,863.7,9,1345.2,3.569,17035.114,14260.443,9075.5,1365.2,309.54,-1.35,-581.09,1.82992465,3944963,0
11-Jun,0.09,224.8,873.4,9.1,1320.6,3.559,17035.114,14324.383,9151,1345.2,309.54,-1.83,-581.09,1.777059774,3944963,0
11-Jul,0.07,225.4,885.6,9,1292.3,3.629,17031.313,14386.123,9316.6,1320.6,311.85,-2.14,-567.11,1.555793991,3976618,0
11-Aug,0.1,226.1,935.6,9,1218.9,3.771,17031.313,14378.666,9507.6,1292.6,311.85,-5.68,-567.11,1.340482574,3976618,0
11-Sep,0.08,226.6,935.6,9,1131.4,3.868,17031.313,14359.76,9528.3,1219.1,311.85,-7.18,-567.11,1.015499733,3976618,0
11-Oct,0.07,226.8,938.7,8.8,1253.3,3.525,17222.583,14364.71,9562.1,1131.2,313.28,10.77,-601.79,1.388888889,4178714,0
11-Nov,0.08,227.2,960.5,8.6,1247,3.394,17222.583,14349.583,9612.6,1251,313.28,-0.5,-601.79,1.119402985,4178714,0
11-Dec,0.07,227.2,953.1,8.5,1257.6,2.962,17222.583,14479.33,9660.1,1246.9,313.28,0.85,-601.79,1.064395955,4178714,0
